Name,TeamsPlayedFor,SuccessfulTransfers
Benrahma,4,6
Sancho,4,5
Chalobah,4,5
Maupay,4,5
Wood,4,5
Thiago Silva,4,5
Mitchell,4,5
Richarlison,4,5
Duffy,4,4
Alonso,4,4
Rodrigo,4,4
Saïss,3,7
Digne,3,6
Tarkowski,3,6
Targett,3,5
Toney,3,4
Zaha,3,4
Doucouré,3,4
Zinchenko,3,4
Ward-Prowse,3,4
Coufal,3,4
Tielemans,3,3
Bowen,3,3
Edouard,3,3
Bruno Guimarães,3,3
White,3,3
Ziyech,3,3
Mount,3,3
Stones,3,3
Shaw,3,3
Adams,3,3
Lucas Moura,3,3
Sánchez,3,3
Gordon,3,3
Hwang,3,3
Tomiyasu,3,3
Trossard,2,7
Konsa,2,5
Henry,2,5
Livramento,2,5
Andersen,2,4
Bamford,2,4
Guaita,2,4
Cucurella,2,4
Buendía,2,4
Mbeumo,2,4
Azpilicueta,2,4
Harrison,2,4
McCarthy,2,4
Grealish,2,3
Raphinha,2,3
Lamptey,2,3
Raya,2,3
Calvert-Lewin,2,3
Cavani,2,3
Pukki,2,3
Dier,2,3
Cresswell,2,3
Werner,2,3
Benteke,2,3
Keane,2,3
Iheanacho,2,3
Matip,2,3
Gündogan,2,3
Soucek,2,3
Daka,2,3
Varane,2,2
Aubameyang,2,2
Sessegnon,2,2
Eriksen,2,2
Willock,2,2
Watkins,2,2
Walker,2,2
Pogba,2,2
Wilson,2,2
Saint-Maximin,2,2
Neves,2,2
Broja,2,2
Tierney,2,2
Saka,2,2
Ramsey,2,2
Canós,2,2
Lowton,2,2
Havertz,2,2
James,2,2
Ayling,2,2
Sterling,2,2
Bernardo,2,2
Foden,2,2
Maguire,2,2
Rashford,2,2
Dele,2,2
Davies,2,2
Reguilón,2,2
Marçal,2,2
Dennis,2,2
Gray,2,2
Bailey,2,2
Emerson Royal,1,6
Pickford,1,4
Martinelli,1,3
Söyüncü,1,3
Joelinton,1,3
Ait Nouri,1,3
Guéhi,1,3
Romero,1,3
Pereira,1,2
Kouyaté,1,2
Eze,1,2
Meslier,1,2
Fred,1,2
Schär,1,2
Walker-Peters,1,2
Sarr,1,2
Coady,1,2
Jonny,1,2
King,1,2
Dalot,1,2
Roberts,1,2
Lookman,1,2
Lukaku,1,1
Ronaldo,1,1
Gallagher,1,1
Pinnock,1,1
Pieters,1,1
Kovacic,1,1
Mateta,1,1
Tsimikas,1,1
Cornet,1,1
Coutinho,1,1
Leno,1,1
Lacazette,1,1
Pépé,1,1
Nketiah,1,1
Smith Rowe,1,1
Gabriel,1,1
Martínez,1,1
McGinn,1,1
Mings,1,1
Cash,1,1
Groß,1,1
Dunk,1,1
Sánchez,1,1
Mac Allister,1,1
Jansson,1,1
Mee,1,1
Pope,1,1
Taylor,1,1
Brownhill,1,1
Jorginho,1,1
Rüdiger,1,1
Arrizabalaga,1,1
Christensen,1,1
Chilwell,1,1
Abraham,1,1
Pulisic,1,1
Mendy,1,1
McArthur,1,1
Ayew,1,1
Sigurdsson,1,1
Coleman,1,1
James,1,1
Iwobi,1,1
Godfrey,1,1
Dallas,1,1
Llorente,1,1
Schmeichel,1,1
Vardy,1,1
Castagne,1,1
Maddison,1,1
Barnes,1,1
Justin,1,1
Thomas,1,1
Fofana,1,1
Henderson,1,1
Firmino,1,1
van Dijk,1,1
Mané,1,1
Alisson,1,1
Fabinho,1,1
Salah,1,1
Robertson,1,1
Minamino,1,1
Alexander-Arnold,1,1
Gomez,1,1
Jota,1,1
Konaté,1,1
De Bruyne,1,1
Mahrez,1,1
Cancelo,1,1
Ederson,1,1
Laporte,1,1
Dias,1,1
Jesus,1,1
Rodrigo,1,1
Torres,1,1
de Gea,1,1
Lingard,1,1
Fernandes,1,1
Martial,1,1
Henderson,1,1
Tuanzebe,1,1
Lindelöf,1,1
James,1,1
Wan-Bissaka,1,1
Greenwood,1,1
Krul,1,1
Aarons,1,1
Ings,1,1
Bednarek,1,1
Lloris,1,1
Kane,1,1
Son,1,1
Doherty,1,1
Højbjerg,1,1
Bergwijn,1,1
Tanganga,1,1
Ndombele,1,1
Foster,1,1
Fabianski,1,1
Ogbonna,1,1
Antonio,1,1
Dawson,1,1
Rice,1,1
Fornals,1,1
Moutinho,1,1
Jiménez,1,1
Traoré,1,1
Semedo,1,1
Kilman,1,1
Neto,1,1
Welbeck,1,1
Perraud,1,1
Trincão,1,1
Firpo,1,1
Olise,1,1
Cucho,1,1
Sá,1,1
Townsend,1,1
Areola,1,1
Sargent,1,1
A.Armstrong,1,1
Fernández,1,1
Ødegaard,1,1
Ramsdale,1,1
Mykolenko,1,1
Trippier,1,1
Luis Díaz,1,1
Weghorst,1,1
Kulusevski,1,1
Mendy,0,0
Telles,0,0
van de Beek,0,0
Fraser,0,0
João Pedro,0,0
Lanzini,0,0
Podence,0,0
